강의_ID,강의명,카테고리_ID,기관_ID,과목_ID,콘텐츠_ID
ASP00001S100120220104051,[HD]컴퓨터그래픽스운용기능사 실기 (2019),202205137792580 ,S1001,S10443,202205121322091652329329262
ASP00001S100120220104050,[HD]컴퓨터그래픽스운용기능사 필기 (2019) Part.2,202205137792580 ,S1001,S10442,202205121318091652329089351
ASP00001S100120220104049,[HD]컴퓨터그래픽스운용기능사 필기 (2019) Part.1,202205137792580 ,S1001,S10441,202205121314251652328865190
ASP00001S100120220104057,[HD]리눅스마스터 1급 자격증 따기 (기출문제풀이),202205135026225 ,S1001,S10449,202205121310141652328614930
ASP00001S100120220104056,[HD]리눅스마스터 1급 자격증 따기,202205135026225 ,S1001,S10448,202205121154061652324046051
ASP00001S993520210009060,[서울시 장애인식개선 영상] 장애인 1분 에티켓,202112309616869 ,S9935,S10196,202106291437311624945051945
ASP00001S993520210009059,[서울시 장애인식개선 영상] 빛과그림자,202112309616869 ,S9935,S10198,202106291428201624944500723
ASP00001S305220220000815,[서울시복지재단] 생애주기 재무설계 (2022),202112309616869 ,S3052,S11051,202209220920311663806031502
ASP00001S305220220000814,[서울시복지재단] 디지털 금융과 금융소비자의 보호제도,202112309616869 ,S3052,S10461,202205171701271652774487002
ASP00001S305220220000813,[서울시복지재단] 노후준비와 은퇴설계,202112309616869 ,S3052,S10460,202205171700361652774436569
ASP00001S305220220000812,[서울시복지재단] 보험관리와 활용,202112309616869 ,S3052,S10459,202205171659301652774370601
ASP00001S305220220000811,[서울시복지재단] 신용과 대출관리,202112309616869 ,S3052,S10458,202205171658081652774288730
ASP00001S305220220000810,[서울시복지재단] 생애주기 재무설계,202112309616869 ,S3052,S10457,202205171656531652774213294
ASP00001S1003020220000010,2022년 온라인 도로포장공사 전문기술교육 - 6차,202112309616869 ,S10030,S10361,202105311110041622427004487
ASP00001S1003020220000009,2022년 온라인 도로포장공사 전문기술교육 - 5차,202112309616869 ,S10030,S10360,202105311054121622426052854
ASP00001S100220220000001,총괄재난관리자 직무능력 강화,202112309616869 ,S1002,S10438,202205061500211651816821215
ASP00001S100120220104184,의료인을 위한 노인학대 예방 및 신고의무 교육,202112309616869 ,S1001,S11033,202207271021151658884875784
ASP00001S100120220104045,2021 인권교육 콘텐츠,202112309616869 ,S1000,S10437,202205031720391651566039660
ASP00001S100120210103672,[손수호 변호사의 사건 속으로] 자살 방지 교육,202112309616869 ,S1001,S10325,ASP00001S100120210103672
ASP00001S100120210103671,[손수호 변호사의 사건 속으로] 지능정보서비스 과의존 예방 교육,202112309616869 ,S1001,S10324,ASP00001S100120210103671
ASP00001S100120210103670,[손수호 변호사의 사건 속으로] 퇴직연금 교육,202112309616869 ,S1001,S10323,ASP00001S100120210103670
ASP00001S100120210103669,[손수호 변호사의 사건 속으로] 청렴교육,202112309616869 ,S1001,S10322,ASP00001S100120210103669
ASP00001S100120210103668,[손수호 변호사의 사건 속으로] 윤리경영 교육,202112309616869 ,S1001,S10321,ASP00001S100120210103668
ASP00001S100120210103667,[손수호 변호사의 사건 속으로] 개인정보보호 교육,202112309616869 ,S1001,S10320,ASP00001S100120210103667
ASP00001S100120210103666,[손수호 변호사의 사건 속으로] 직장 내 장애인 인식개선 교육,202112309616869 ,S1001,S10319,ASP00001S100120210103666
ASP00001S100120210103665,[손수호 변호사의 사건 속으로] 가정폭력 예방 교육,202112309616869 ,S1001,S10318,ASP00001S100120210103665
ASP00001S100120210103664,[손수호 변호사의 사건 속으로] 성매매 예방 교육,202112309616869 ,S1001,S10317,ASP00001S100120210103664
ASP00001S100120210103663,[손수호 변호사의 사건 속으로] 성폭력 예방 교육,202112309616869 ,S1001,S10316,ASP00001S100120210103663
ASP00001S100120210103662,[손수호 변호사의 사건 속으로] 성희롱 예방 교육,202112309616869 ,S1001,S10315,ASP00001S100120210103662
ASP00001S100120210103661,[손수호 변호사의 사건 속으로] 직장 내 괴롭힘 방지 교육,202112309616869 ,S1001,S10314,ASP00001S100120210103661
ASP00001S100120210102655,중랑구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021427221617341242480
ASP00001S100120210102654,중구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021430091617341409461
ASP00001S100120210102653,종로구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021431011617341461302
ASP00001S100120210102652,은평구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021434091617341649137
ASP00001S100120210102651,용산구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021435291617341729967
ASP00001S100120210102650,영등포구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021436331617341793866
ASP00001S100120210102649,양천구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021437541617341874141
ASP00001S100120210102648,송파구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021438591617341939223
ASP00001S100120210102647,성북구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021440581617342058938
ASP00001S100120210102646,성동구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021441481617342108793
ASP00001S100120210102645,서초구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021442571617342177210
ASP00001S100120210102644,서대문구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021441371617342097204
ASP00001S100120210102643,마포구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021440071617342007287
ASP00001S100120210102642,동작구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021436571617341817723
ASP00001S100120210102641,동대문구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021435091617341709505
ASP00001S100120210102640,도봉구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021433161617341596316
ASP00001S100120210102639,노원구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021431201617341480297
ASP00001S100120210102638,금천구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021429571617341397589
ASP00001S100120210102637,구로구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021427251617341245752
ASP00001S100120210102636,광진구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021426021617341162669
ASP00001S100120210102635,관악구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021419501617340790707
ASP00001S100120210102634,강서구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021411391617340299466
ASP00001S100120210102633,강북구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021408311617340111126
ASP00001S100120210102632,강동구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021404481617339888853
ASP00001S100120210102631,강남구 공인중개사 연수교육 과정 Ⅱ(집합교육대체),202112309616869 ,111000,S10048,202104021357321617339452915
ASP00001S100120210102630,중랑구 공인중개사 연수교육 과정Ⅰ(사이버교육필수),202112309616869 ,111000,S10049,202104021422511617340971966
